_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"2.028931","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=49112 Ack=5858 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.028935","5.9.29.183","172.19.0.3","TCP","156","9002 → 43520 [PSH, ACK] Seq=50572 Ack=5858 Win=65535 Len=100 [TCP segment of a reassembled PDU]"
"2.029091","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5858 Ack=50672 Win=11879 Len=0"
"2.041636","5.9.29.183","172.19.0.3","TCP","1113","9002 → 43520 [PSH, ACK] Seq=50672 Ack=5858 Win=65535 Len=1057 [TCP segment of a reassembled PDU]"
"2.041710","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data, Application Data"
"2.041728","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5858 Ack=53189 Win=11903 Len=0"
"2.041731","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=53189 Ack=5858 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.041735","5.9.29.183","172.19.0.3","TCP","1480","9002 → 43520 [PSH, ACK] Seq=54649 Ack=5858 Win=65535 Len=1424 [TCP segment of a reassembled PDU]"
"2.041738","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"2.041742","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=57533 Ack=5858 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.041861","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5858 Ack=58969 Win=11869 Len=0"
"2.044065","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=58969 Ack=5858 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"2.044137","5.9.29.183","172.19.0.3","TLSv1.2","1504","Application Data [TCP segment of a reassembled PDU]"
